2026-01-13 16:39:00,597 | INFO | movie_transformer | Loaded 18 raw movies
2026-01-13 16:39:00,597 | INFO | movie_transformer | Starting movie transformation
2026-01-13 16:39:00,597 | INFO | movie_transformer | Initial rows: 18
2026-01-13 16:39:00,597 | INFO | movie_transformer | Extracting credits data
2026-01-13 16:39:00,603 | INFO | movie_transformer | Flattening column: belongs_to_collection
2026-01-13 16:39:00,604 | INFO | movie_transformer | Flattening column: genres
2026-01-13 16:39:00,604 | INFO | movie_transformer | Flattening column: production_companies
2026-01-13 16:39:00,605 | INFO | movie_transformer | Flattening column: production_countries
2026-01-13 16:39:00,605 | INFO | movie_transformer | Flattening column: spoken_languages
2026-01-13 16:39:00,607 | INFO | movie_transformer | Dropped columns: ['credits']
2026-01-13 16:39:00,618 | INFO | movie_transformer | Transformation complete | final rows: 18
2026-01-13 16:39:00,618 | INFO | movie_transformer | Final columns: ['movie_id', 'title', 'tagline', 'release_date', 'genres', 'belongs_to_collection', 'original_language', 'budget_musd', 'revenue_musd', 'budget_musd_num', 'revenue_musd_num', 'profit_musd', 'roi', 'production_companies', 'production_countries', 'vote_count', 'vote_average', 'popularity', 'runtime', 'overview', 'spoken_languages', 'poster_path', 'cast', 'cast_size', 'director', 'crew_size']
2026-01-13 16:39:00,622 | INFO | movie_transformer | Saved transformed movies to C:\Users\ZainabAbdullai\Desktop\TMDB\TMDB_Movie_Analysis\data\movies_transformed.csv
