movie_id,title,release_date,runtime,budget,revenue,popularity,vote_average,vote_count,original_language
299534,Avengers: Endgame,2019-04-24,181,356000000,2799439100,19.9525,8.237,27098,en
19995,Avatar,2009-12-16,162,237000000,2923706026,96.5148,7.599,33197,en
140607,Star Wars: The Force Awakens,2015-12-15,136,245000000,2068223624,12.4763,7.254,20181,en
299536,Avengers: Infinity War,2018-04-25,149,300000000,2052415039,31.752,8.235,31315,en
597,Titanic,1997-11-18,194,200000000,2264162353,42.8118,7.9,26635,en
135397,Jurassic World,2015-06-06,124,150000000,1671537444,12.9482,6.7,21203,en
420818,The Lion King,2019-07-12,118,260000000,1662020819,11.9991,7.099,10599,en
24428,The Avengers,2012-04-25,143,220000000,1518815515,49.2367,7.895,34876,en
168259,Furious 7,2015-04-01,139,190000000,1515400000,10.9725,7.221,11074,en
99861,Avengers: Age of Ultron,2015-04-22,141,235000000,1405403694,18.4369,7.271,23985,en
284054,Black Panther,2018-02-13,135,200000000,1349926083,11.6033,7.365,23058,en
12445,Harry Potter and the Deathly Hallows: Part 2,2011-07-12,130,125000000,1341511219,19.9938,8.083,21560,en
181808,Star Wars: The Last Jedi,2017-12-13,152,300000000,1332698830,11.4355,6.762,16004,en
330457,Frozen II,2019-11-20,103,150000000,1453683476,13.9407,7.239,10112,en
351286,Jurassic World: Fallen Kingdom,2018-06-06,129,170000000,1310469037,11.0038,6.536,12471,en
109445,Frozen,2013-11-20,102,150000000,1274219009,19.5494,7.248,17263,en
321612,Beauty and the Beast,2017-03-16,129,160000000,1266115964,14.7482,6.969,15871,en
260513,Incredibles 2,2018-06-14,118,200000000,1243225667,10.2859,7.454,13429,en
