title,release_date,original_language,budget_musd,revenue_musd,vote_count,vote_average,popularity,runtime
Avengers: Endgame,2019-04-24,en,$356.0M,$2799.4M,27098,8.237,19.9525,181
Avatar,2009-12-16,en,$237.0M,$2923.7M,33197,7.599,96.5148,162
Star Wars: The Force Awakens,2015-12-15,en,$245.0M,$2068.2M,20181,7.254,12.4763,136
Avengers: Infinity War,2018-04-25,en,$300.0M,$2052.4M,31315,8.235,31.752,149
Titanic,1997-11-18,en,$200.0M,$2264.2M,26635,7.9,42.8118,194
Jurassic World,2015-06-06,en,$150.0M,$1671.5M,21203,6.7,12.9482,124
The Lion King,2019-07-12,en,$260.0M,$1662.0M,10599,7.099,11.9991,118
The Avengers,2012-04-25,en,$220.0M,$1518.8M,34876,7.895,49.2367,143
Furious 7,2015-04-01,en,$190.0M,$1515.4M,11074,7.221,10.9725,139
Avengers: Age of Ultron,2015-04-22,en,$235.0M,$1405.4M,23985,7.271,18.4369,141
Black Panther,2018-02-13,en,$200.0M,$1349.9M,23058,7.365,11.6033,135
Harry Potter and the Deathly Hallows: Part 2,2011-07-12,en,$125.0M,$1341.5M,21560,8.083,19.9938,130
Star Wars: The Last Jedi,2017-12-13,en,$300.0M,$1332.7M,16004,6.762,11.4355,152
Frozen II,2019-11-20,en,$150.0M,$1453.7M,10112,7.239,13.9407,103
Jurassic World: Fallen Kingdom,2018-06-06,en,$170.0M,$1310.5M,12471,6.536,11.0038,129
Frozen,2013-11-20,en,$150.0M,$1274.2M,17263,7.248,19.5494,102
Beauty and the Beast,2017-03-16,en,$160.0M,$1266.1M,15871,6.969,14.7482,129
Incredibles 2,2018-06-14,en,$200.0M,$1243.2M,13429,7.454,10.2859,118
